T_delta_mean,x_std,z_std,y_mean,y_std,theta_avg_dc,theta_std_dc,outlet_area,flowrate,v_wind,theta_wind,dch,dcw,dcd,rcp,T_wind
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,5,135,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,25,315,9.333,9,38,10.6,102
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,270,15.3,12,40,7.43,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,5,45,15.3,12,40,10.6,105
1,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,15,45,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,90,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,5,225,9,7,43,10.6,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,315,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,225,9.333,9,38,10.6,102
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,15,225,15.3,12,40,10.6,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,15,270,15.3,12,40,7.125,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
2,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,25,180,15.3,12,40,7.43,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,180,15.3,12,40,7.43,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,45,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,25,225,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,25,270,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,135,15.3,12,40,7.125,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,25,225,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,45,15.3,12,40,7.43,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,25,180,15.3,12,40,7.125,105
0,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,25,270,9.333,9,38,10.6,102
0,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,5,315,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,5,270,15.3,12,40,7.125,105
0,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,5,90,15.3,12,40,7.125,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,5,225,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,25,135,9.333,9,38,10.6,102
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,90,15.3,12,40,7.125,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,5,270,15.3,12,40,10.6,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,15,270,15.3,12,40,7.125,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,5,45,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,90,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,270,9.333,9,38,10.6,102
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,15,90,15.3,12,40,10.6,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,225,15.3,12,40,7.43,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,270,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,5,270,15.3,12,40,7.43,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,315,9,7,43,10.6,105
2,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,15,45,9.333,9,38,10.6,102
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,5,90,15.3,12,40,10.6,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,15,225,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,25,225,9.333,9,38,10.6,102
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,180,15.3,12,40,7.125,105
0,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,5,135,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,135,15.3,12,40,7.43,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,5,90,9,7,43,10.6,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,90,15.3,12,40,7.125,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,25,0,15.3,12,40,7.125,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,25,225,15.3,12,40,7.125,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,5,90,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,180,15.3,12,40,7.125,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,15,0,15.3,12,40,7.125,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,15,135,15.3,12,40,7.125,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,25,315,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,90,9.333,9,38,10.6,102
0,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,0,9.333,9,38,10.6,102
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,5,180,15.3,12,40,10.6,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,270,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,45,9,7,43,10.6,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,5,315,15.3,12,40,7.43,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
2,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,25,180,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,225,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,45,15.3,12,40,7.125,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,5,180,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
2,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,15,135,9.333,9,38,10.6,102
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,0,15.3,12,40,7.43,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,25,225,15.3,12,40,7.43,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,90,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,5,135,15.3,12,40,7.43,105
1,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,15,225,15.3,12,40,7.125,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,15,225,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,270,15.3,12,40,7.125,105
0,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,5,0,15.3,12,40,7.125,105
2,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,180,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,45,9.333,9,38,10.6,102
1,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,25,0,15.3,12,40,7.125,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,15,225,15.3,12,40,7.125,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,25,225,15.3,12,40,7.125,105
2,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,15,225,9.333,9,38,10.6,102
2,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,25,0,9.333,9,38,10.6,102
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,15,315,15.3,12,40,7.43,105
1,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,15,135,15.3,12,40,7.125,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,15,45,15.3,12,40,7.125,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,15,135,15.3,12,40,7.125,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,15,45,15.3,12,40,10.6,105
0,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,5,180,15.3,12,40,7.125,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,25,135,15.3,12,40,10.6,105
2,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,0,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,0,15.3,12,40,7.125,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,25,315,15.3,12,40,10.6,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,45,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,225,9,7,43,10.6,105
0,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,5,0,9,7,43,10.6,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,45,15.3,12,40,7.125,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,25,270,15.3,12,40,10.6,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,5,315,15.3,12,40,10.6,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,45,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,5,45,15.3,12,40,7.43,105
2,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,15,315,9,7,43,10.6,105
0,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,15,0,15.3,12,40,10.6,105
2,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,15,135,9,7,43,10.6,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,0,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,135,9,7,43,10.6,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,15,90,15.3,12,40,7.125,105
2,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,25,0,15.3,12,40,7.125,105
1,238.686943804761,26.8759053003668,0,0,0,0,1252.8,22090896,25,0,15.3,12,40,10.6,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,15,180,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,5,0,15.3,12,40,7.125,105
2,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,25,0,15.3,12,40,7.125,105
0,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,5,225,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,225,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,270,15.3,12,40,7.125,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,25,270,15.3,12,40,7.125,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,15,270,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,15,315,15.3,12,40,7.125,105
0,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,15,135,15.3,12,40,7.125,105
1,239.436839270819,22.0506410163235,0,0,90,0,939.6,13703202,25,90,15.3,12,40,7.125,105
0,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,90,9,7,43,10.6,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,15,90,9.333,9,38,10.6,102
0,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,25,135,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,135,9.333,9,38,10.6,102
2,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,15,315,9.333,9,38,10.6,102
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,5,225,15.3,12,40,7.125,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,15,180,15.3,12,40,7.125,105
1,281.179255253487,21.8416254837772,0,0,270,0,1879.2,18699822,25,135,15.3,12,40,7.125,105
1,238.208882492054,26.7488317501905,0,0,0,0,3482.676,14102208,5,315,9.333,9,38,10.6,102
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,135,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,270,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,90,15.3,12,40,7.125,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,25,315,15.3,12,40,7.43,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,25,270,15.3,12,40,7.125,105
0,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,5,135,9,7,43,10.6,105
0,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
0,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,270,9,7,43,10.6,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,15,45,9,7,43,10.6,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,15,135,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,135,15.3,12,40,7.125,105
